"id","year","month","weekday","time_period","death","injuries","neighbourhood","longitude","latitude"
1739,2011,"July","Thursday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5881393689,43.7463184732
1746,2011,"August","Tuesday","Night",0,0,"Humbermede",-79.557622987,43.7487902835
1748,2011,"August","Saturday","Night",0,0,"Wellington Place",-79.3866083404,43.6486342877
1751,2011,"August","Saturday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5863663707,43.7325015778
1753,2011,"August","Saturday","Night",0,0,"Rockcliffe-Smythe",-79.4961242955,43.6772426143
1754,2011,"August","Saturday","Night",0,1,"West Humber-Clairville",-79.5993996681,43.7308785694
1756,2011,"August","Friday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5881393689,43.7463184732
1758,2011,"August","Saturday","Evening",0,1,"York University Heights",-79.4922070005,43.744597435
1760,2011,"August","Monday","Evening",0,1,"Mount Olive-Silverstone-Jamestown",-79.586595568,43.737158576
1763,2011,"August","Tuesday","Afternoon",0,1,"Flemingdon Park",-79.3378557235,43.7180408531
1764,2011,"August","Wednesday","Evening",0,1,"Kingsview Village-The Westway",-79.555636943,43.6979046673
1766,2011,"September","Saturday","Night",0,0,"West Humber-Clairville",-79.5666725563,43.7117153101
1767,2011,"September","Sunday","Night",0,3,"Golfdale-Cedarbrae-Woburn",-79.2088346263,43.763352996
1769,2011,"September","Tuesday","Evening",0,1,"Rockcliffe-Smythe",-79.4820865989,43.6806039127
1770,2011,"September","Thursday","Night",0,0,"Glenfield-Jane Heights",-79.5192049105,43.7528875823
1771,2011,"September","Friday","Evening",0,0,"Humber Summit",-79.5594719894,43.7507224873
1772,2011,"September","Saturday","Morning",0,0,"Humbermede",-79.5686105801,43.7462432807
1773,2011,"September","Wednesday","Afternoon",0,0,"Humbermede",-79.5415780955,43.7482525814
1775,2011,"September","Friday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5853086714,43.7322826771
1777,2011,"September","Saturday","Evening",0,0,"Elms-Old Rexdale",-79.5493287722,43.727296229
1779,2011,"September","Sunday","Afternoon",0,1,"Englemount-Lawrence",-79.4417645727,43.7309859508
1780,2011,"September","Friday","Evening",0,0,"Yorkdale-Glen Park",-79.4604980133,43.7218733541
1781,2011,"September","Sunday","Afternoon",0,1,"Yorkdale-Glen Park",-79.4492335166,43.7205199563
1782,2011,"September","Tuesday","Morning",0,0,"Golfdale-Cedarbrae-Woburn",-79.2110685384,43.7628998987
1783,2011,"September","Tuesday","Morning",0,1,"NSA",0,0
1784,2011,"September","Wednesday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5914088666,43.7462229702
1789,2011,"October","Sunday","Afternoon",0,0,"Glenfield-Jane Heights",-79.506857592,43.7403186417
1793,2011,"October","Friday","Evening",0,1,"Glenfield-Jane Heights",-79.5080309176,43.748062876
1794,2011,"October","Saturday","Night",0,1,"Humbermede",-79.5382183823,43.733742451
1795,2011,"October","Saturday","Night",1,0,"Black Creek",-79.5098431192,43.7634269884
1796,2011,"October","Sunday","Evening",0,0,"Glenfield-Jane Heights",-79.5103932184,43.7492116795
1797,2011,"October","Monday","Evening",0,0,"Glenfield-Jane Heights",-79.5033842941,43.7410719421
1799,2011,"October","Tuesday","Night",0,0,"NSA",0,0
1800,2011,"October","Tuesday","Night",0,0,"Mount Olive-Silverstone-Jamestown",-79.5863663707,43.7325015778
1801,2011,"October","Tuesday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5881393689,43.7463184732
1802,2011,"October","Tuesday","Night",0,0,"Mount Olive-Silverstone-Jamestown",-79.5881393689,43.7463184732
1803,2011,"October","Thursday","Evening",0,1,"Glenfield-Jane Heights",-79.5090824198,43.7581387853
1806,2011,"October","Monday","Evening",0,1,"Mount Olive-Silverstone-Jamestown",-79.5884871663,43.7387194744
1807,2011,"October","Monday","Night",0,0,"York University Heights",-79.4918179951,43.7436554274
1809,2011,"October","Tuesday","Evening",0,0,"Oakdale-Beverley Heights",-79.4836777436,43.7262896469
1810,2011,"October","Tuesday","Night",0,0,"Glenfield-Jane Heights",-79.5095487193,43.7589079857
1811,2011,"October","Friday","Evening",0,1,"Mount Olive-Silverstone-Jamestown",-79.5894134692,43.7320182769
1812,2011,"October","Friday","Morning",1,0,"Oakdale-Beverley Heights",-79.5085819557,43.7300469721
1813,2011,"October","Monday","Evening",0,2,"NSA",0,0
